1.00%,Tolerance,,,,,,
Value,Description,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
1R,"Res, 1R Ohm, 1%, 125mW, R0805",Yageo,RC0805FR-071RP,Panasonic,ERJ-U06F1R00V,Koa-Speer,RK73H2ATTDD1R00F
1R02,"Res, 1R02 Ohm, 1R, 125mW, R0805",Yageo,RC0805FR-071R02P,Panasonic,ERJ-U06F1R02V,Koa-Speer,RK73H2ATTDD1R02F
1R5,"Res, 1R5 Ohm, 1R02, 125mW, R0805",Yageo,RC0805FR-071R5P,Panasonic,ERJ-U06F1R50V,Koa-Speer,RK73H2ATTDD1R50F
1R07,"Res, 1R07 Ohm, 1R5, 125mW, R0805",Yageo,RC0805FR-071R07P,Panasonic,ERJ-U06F1R07V,Koa-Speer,RK73H2ATTDD1R07F
1R1,"Res, 1R1 Ohm, 1R07, 125mW, R0805",Yageo,RC0805FR-071R1P,Panasonic,ERJ-U06F1R10V,Koa-Speer,RK73H2ATTDD1R10F
1R13,"Res, 1R13 Ohm, 1R1, 125mW, R0805",Yageo,RC0805FR-071R13P,Panasonic,ERJ-U06F1R13V,Koa-Speer,RK73H2ATTDD1R13F
1R15,"Res, 1R15 Ohm, 1R13, 125mW, R0805",Yageo,RC0805FR-071R15P,Panasonic,ERJ-U06F1R15V,Koa-Speer,RK73H2ATTDD1R15F
1R18,"Res, 1R18 Ohm, 1R15, 125mW, R0805",Yageo,RC0805FR-071R18P,Panasonic,ERJ-U06F1R18V,Koa-Speer,RK73H2ATTDD1R18F
1R21,"Res, 1R21 Ohm, 1R18, 125mW, R0805",Yageo,RC0805FR-071R21P,Panasonic,ERJ-U06F1R21V,Koa-Speer,RK73H2ATTDD1R21F
1R24,"Res, 1R24 Ohm, 1R21, 125mW, R0805",Yageo,RC0805FR-071R24P,Panasonic,ERJ-U06F1R24V,Koa-Speer,RK73H2ATTDD1R24F
1R27,"Res, 1R27 Ohm, 1R24, 125mW, R0805",Yageo,RC0805FR-071R27P,Panasonic,ERJ-U06F1R27V,Koa-Speer,RK73H2ATTDD1R27F
1R3,"Res, 1R3 Ohm, 1R27, 125mW, R0805",Yageo,RC0805FR-071R3P,Panasonic,ERJ-U06F1R30V,Koa-Speer,RK73H2ATTDD1R30F
1R33,"Res, 1R33 Ohm, 1R3, 125mW, R0805",Yageo,RC0805FR-071R33P,Panasonic,ERJ-U06F1R33V,Koa-Speer,RK73H2ATTDD1R33F
1R37,"Res, 1R37 Ohm, 1R33, 125mW, R0805",Yageo,RC0805FR-071R37P,Panasonic,ERJ-U06F1R37V,Koa-Speer,RK73H2ATTDD1R37F
1R4,"Res, 1R4 Ohm, 1R37, 125mW, R0805",Yageo,RC0805FR-071R4P,Panasonic,ERJ-U06F1R40V,Koa-Speer,RK73H2ATTDD1R40F
1R43,"Res, 1R43 Ohm, 1R4, 125mW, R0805",Yageo,RC0805FR-071R43P,Panasonic,ERJ-U06F1R43V,Koa-Speer,RK73H2ATTDD1R43F
1R47,"Res, 1R47 Ohm, 1R43, 125mW, R0805",Yageo,RC0805FR-071R47P,Panasonic,ERJ-U06F1R47V,Koa-Speer,RK73H2ATTDD1R47F
1R5,"Res, 1R5 Ohm, 1R47, 125mW, R0805",Yageo,RC0805FR-071R5P,Panasonic,ERJ-U06F1R50V,Koa-Speer,RK73H2ATTDD1R50F
1R54,"Res, 1R54 Ohm, 1R5, 125mW, R0805",Yageo,RC0805FR-071R54P,Panasonic,ERJ-U06F1R54V,Koa-Speer,RK73H2ATTDD1R54F
1R58,"Res, 1R58 Ohm, 1R54, 125mW, R0805",Yageo,RC0805FR-071R58P,Panasonic,ERJ-U06F1R58V,Koa-Speer,RK73H2ATTDD1R58F
1R62,"Res, 1R62 Ohm, 1R58, 125mW, R0805",Yageo,RC0805FR-071R62P,Panasonic,ERJ-U06F1R62V,Koa-Speer,RK73H2ATTDD1R62F
1R65,"Res, 1R65 Ohm, 1R62, 125mW, R0805",Yageo,RC0805FR-071R65P,Panasonic,ERJ-U06F1R65V,Koa-Speer,RK73H2ATTDD1R65F
1R69,"Res, 1R69 Ohm, 1R65, 125mW, R0805",Yageo,RC0805FR-071R69P,Panasonic,ERJ-U06F1R69V,Koa-Speer,RK73H2ATTDD1R69F
1R74,"Res, 1R74 Ohm, 1R69, 125mW, R0805",Yageo,RC0805FR-071R74P,Panasonic,ERJ-U06F1R74V,Koa-Speer,RK73H2ATTDD1R74F
1R78,"Res, 1R78 Ohm, 1R74, 125mW, R0805",Yageo,RC0805FR-071R78P,Panasonic,ERJ-U06F1R78V,Koa-Speer,RK73H2ATTDD1R78F
1R82,"Res, 1R82 Ohm, 1R78, 125mW, R0805",Yageo,RC0805FR-071R82P,Panasonic,ERJ-U06F1R82V,Koa-Speer,RK73H2ATTDD1R82F
1R87,"Res, 1R87 Ohm, 1R82, 125mW, R0805",Yageo,RC0805FR-071R87P,Panasonic,ERJ-U06F1R87V,Koa-Speer,RK73H2ATTDD1R87F
1R91,"Res, 1R91 Ohm, 1R87, 125mW, R0805",Yageo,RC0805FR-071R91P,Panasonic,ERJ-U06F1R91V,Koa-Speer,RK73H2ATTDD1R91F
1R96,"Res, 1R96 Ohm, 1R91, 125mW, R0805",Yageo,RC0805FR-071R96P,Panasonic,ERJ-U06F1R96V,Koa-Speer,RK73H2ATTDD1R96F
2R,"Res, 2R Ohm, 1R96, 125mW, R0805",Yageo,RC0805FR-072RP,Panasonic,ERJ-U06F2R00V,Koa-Speer,RK73H2ATTDD2R00F
2R05,"Res, 2R05 Ohm, 2R, 125mW, R0805",Yageo,RC0805FR-072R05P,Panasonic,ERJ-U06F2R05V,Koa-Speer,RK73H2ATTDD2R05F
2R1,"Res, 2R1 Ohm, 2R05, 125mW, R0805",Yageo,RC0805FR-072R1P,Panasonic,ERJ-U06F2R10V,Koa-Speer,RK73H2ATTDD2R10F
2R15,"Res, 2R15 Ohm, 2R1, 125mW, R0805",Yageo,RC0805FR-072R15P,Panasonic,ERJ-U06F2R15V,Koa-Speer,RK73H2ATTDD2R15F
2R21,"Res, 2R21 Ohm, 2R15, 125mW, R0805",Yageo,RC0805FR-072R21P,Panasonic,ERJ-U06F2R21V,Koa-Speer,RK73H2ATTDD2R21F
2R26,"Res, 2R26 Ohm, 2R21, 125mW, R0805",Yageo,RC0805FR-072R26P,Panasonic,ERJ-U06F2R26V,Koa-Speer,RK73H2ATTDD2R26F
2R32,"Res, 2R32 Ohm, 2R26, 125mW, R0805",Yageo,RC0805FR-072R32P,Panasonic,ERJ-U06F2R32V,Koa-Speer,RK73H2ATTDD2R32F
2R37,"Res, 2R37 Ohm, 2R32, 125mW, R0805",Yageo,RC0805FR-072R37P,Panasonic,ERJ-U06F2R37V,Koa-Speer,RK73H2ATTDD2R37F
2R43,"Res, 2R43 Ohm, 2R37, 125mW, R0805",Yageo,RC0805FR-072R43P,Panasonic,ERJ-U06F2R43V,Koa-Speer,RK73H2ATTDD2R43F
2R49,"Res, 2R49 Ohm, 2R43, 125mW, R0805",Yageo,RC0805FR-072R49P,Panasonic,ERJ-U06F2R49V,Koa-Speer,RK73H2ATTDD2R49F
2R55,"Res, 2R55 Ohm, 2R49, 125mW, R0805",Yageo,RC0805FR-072R55P,Panasonic,ERJ-U06F2R55V,Koa-Speer,RK73H2ATTDD2R55F
2R61,"Res, 2R61 Ohm, 2R55, 125mW, R0805",Yageo,RC0805FR-072R61P,Panasonic,ERJ-U06F2R61V,Koa-Speer,RK73H2ATTDD2R61F
2R67,"Res, 2R67 Ohm, 2R61, 125mW, R0805",Yageo,RC0805FR-072R67P,Panasonic,ERJ-U06F2R67V,Koa-Speer,RK73H2ATTDD2R67F
2R74,"Res, 2R74 Ohm, 2R67, 125mW, R0805",Yageo,RC0805FR-072R74P,Panasonic,ERJ-U06F2R74V,Koa-Speer,RK73H2ATTDD2R74F
2R8,"Res, 2R8 Ohm, 2R74, 125mW, R0805",Yageo,RC0805FR-072R8P,Panasonic,ERJ-U06F2R80V,Koa-Speer,RK73H2ATTDD2R80F
2R87,"Res, 2R87 Ohm, 2R8, 125mW, R0805",Yageo,RC0805FR-072R87P,Panasonic,ERJ-U06F2R87V,Koa-Speer,RK73H2ATTDD2R87F
2R94,"Res, 2R94 Ohm, 2R87, 125mW, R0805",Yageo,RC0805FR-072R94P,Panasonic,ERJ-U06F2R94V,Koa-Speer,RK73H2ATTDD2R94F
3R01,"Res, 3R01 Ohm, 2R94, 125mW, R0805",Yageo,RC0805FR-073R01P,Panasonic,ERJ-U06F3R01V,Koa-Speer,RK73H2ATTDD3R01F
3R09,"Res, 3R09 Ohm, 3R01, 125mW, R0805",Yageo,RC0805FR-073R09P,Panasonic,ERJ-U06F3R09V,Koa-Speer,RK73H2ATTDD3R09F
