1.00%,Tolerance,,,,,,
Value,Description,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
1R,"Res, 1R Ohm, 1%, 62.5mW, R0402",Yageo,RC0402FR-071RL,Panasonic,ERJ-U02F1R00X,Koa-Speer,RK73H1ETTP1R00F
1R02,"Res, 1R02 Ohm, 1R, 62.5mW, R0402",Yageo,RC0402FR-071R02L,Panasonic,ERJ-U02F1R02X,Koa-Speer,RK73H1ETTP1R02F
1R5,"Res, 1R5 Ohm, 1R02, 62.5mW, R0402",Yageo,RC0402FR-071R5L,Panasonic,ERJ-U02F1R50X,Koa-Speer,RK73H1ETTP1R50F
1R07,"Res, 1R07 Ohm, 1R5, 62.5mW, R0402",Yageo,RC0402FR-071R07L,Panasonic,ERJ-U02F1R07X,Koa-Speer,RK73H1ETTP1R07F
1R1,"Res, 1R1 Ohm, 1R07, 62.5mW, R0402",Yageo,RC0402FR-071R1L,Panasonic,ERJ-U02F1R10X,Koa-Speer,RK73H1ETTP1R10F
1R13,"Res, 1R13 Ohm, 1R1, 62.5mW, R0402",Yageo,RC0402FR-071R13L,Panasonic,ERJ-U02F1R13X,Koa-Speer,RK73H1ETTP1R13F
1R15,"Res, 1R15 Ohm, 1R13, 62.5mW, R0402",Yageo,RC0402FR-071R15L,Panasonic,ERJ-U02F1R15X,Koa-Speer,RK73H1ETTP1R15F
1R18,"Res, 1R18 Ohm, 1R15, 62.5mW, R0402",Yageo,RC0402FR-071R18L,Panasonic,ERJ-U02F1R18X,Koa-Speer,RK73H1ETTP1R18F
1R21,"Res, 1R21 Ohm, 1R18, 62.5mW, R0402",Yageo,RC0402FR-071R21L,Panasonic,ERJ-U02F1R21X,Koa-Speer,RK73H1ETTP1R21F
1R24,"Res, 1R24 Ohm, 1R21, 62.5mW, R0402",Yageo,RC0402FR-071R24L,Panasonic,ERJ-U02F1R24X,Koa-Speer,RK73H1ETTP1R24F
1R27,"Res, 1R27 Ohm, 1R24, 62.5mW, R0402",Yageo,RC0402FR-071R27L,Panasonic,ERJ-U02F1R27X,Koa-Speer,RK73H1ETTP1R27F
1R3,"Res, 1R3 Ohm, 1R27, 62.5mW, R0402",Yageo,RC0402FR-071R3L,Panasonic,ERJ-U02F1R30X,Koa-Speer,RK73H1ETTP1R30F
1R33,"Res, 1R33 Ohm, 1R3, 62.5mW, R0402",Yageo,RC0402FR-071R33L,Panasonic,ERJ-U02F1R33X,Koa-Speer,RK73H1ETTP1R33F
1R37,"Res, 1R37 Ohm, 1R33, 62.5mW, R0402",Yageo,RC0402FR-071R37L,Panasonic,ERJ-U02F1R37X,Koa-Speer,RK73H1ETTP1R37F
