Value_Code,Value,Symbol,Dielectric,Voltage,Tolerance,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
101,100pF,C0805NPOJ50V_100pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN101,Kemet,C0805C101J5GACTU,Murata,GRM2165C1H101JA01D
111,110pF,C0805NPOJ50V_110pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN111,Kemet,C0805C111J5GACTU,Murata,GRM2165C1H111JA01D
121,120pF,C0805NPOJ50V_120pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN121,Kemet,C0805C121J5GACTU,Murata,GRM2165C1H121JA01D
151,150pF,C0805NPOJ50V_150pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN151,Kemet,C0805C151J5GACTU,Murata,GRM2165C1H151JA01D
181,180pF,C0805NPOJ50V_180pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN181,Kemet,C0805C181J5GACTU,Murata,GRM2165C1H181JA01D
221,220pF,C0805NPOJ50V_220pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN221,Kemet,C0805C221J5GACTU,Murata,GRM2165C1H221JA01D
241,240pF,C0805NPOJ50V_240pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN241,Kemet,C0805C241J5GACTU,Murata,GRM2165C1H241JA01D
271,270pF,C0805NPOJ50V_270pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN271,Kemet,C0805C271J5GACTU,Murata,GRM2165C1H271JA01D
331,330pF,C0805NPOJ50V_330pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN331,Kemet,C0805C331J5GACTU,Murata,GRM2165C1H331JA01D
391,390pF,C0805NPOJ50V_390pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN391,Kemet,C0805C391J5GACTU,Murata,GRM2165C1H391JA01D
471,470pF,C0805NPOJ50V_470pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN471,Kemet,C0805C471J5GACTU,Murata,GRM2165C1H471JA01D
511,510pF,C0805NPOJ50V_510pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN511,Kemet,C0805C511J5GACTU,Murata,GRM2165C1H511JA01D
561,560pF,C0805NPOJ50V_560pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN561,Kemet,C0805C561J5GACTU,Murata,GRM2165C1H561JA01D
681,680pF,C0805NPOJ50V_680pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN681,Kemet,C0805C681J5GACTU,Murata,GRM2165C1H681JA01D
751,750pF,C0805NPOJ50V_750pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN751,Kemet,C0805C751J5GACTU,Murata,GRM2165C1H751JA01D
821,820pF,C0805NPOJ50V_820pF,NPO/COG,50V,5%,Yageo,CC0805JRNPO9BN821,Kemet,C0805C821J5GACTU,Murata,GRM2165C1H821JA01D
