Value_Code,Value,Symbol,Dielectric,Voltage,Tolerance,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
103,10nF,C1206NPOJ50V_10nF,NPO/COG,50V,5%,Murata,GRM3195C1H103JA01D,Kemet,C1206C103J5GACTU,Yageo,CC1206JKNPO9BN103
123,12nF,C1206NPOJ50V_12nF,NPO/COG,50V,5%,Murata,GRM3195C1H123JA01D,Kemet,C1206C123J5GACTU,Yageo,CC1206JKNPO9BN123
153,15nF,C1206NPOJ50V_15nF,NPO/COG,50V,5%,Murata,GRM3195C1H153JA01D,Kemet,C1206C153J5GACTU,Yageo,CC1206JKNPO9BN153
183,18nF,C1206NPOJ50V_18nF,NPO/COG,50V,5%,Murata,GRM3195C1H183JA01D,Kemet,C1206C183J5GACTU,Yageo,CC1206JKNPO9BN183
223,22nF,C1206NPOJ50V_22nF,NPO/COG,50V,5%,Murata,GRM3195C1H223JA01D,Kemet,C1206C223J5GACTU,Yageo,CC1206JKNPO9BN223
273,27nF,C1206NPOJ50V_27nF,NPO/COG,50V,5%,Murata,GRM3195C1H273JA01D,Kemet,C1206C273J5GACTU,Yageo,CC1206JKNPO9BN273
333,33nF,C1206NPOJ50V_33nF,NPO/COG,50V,5%,Murata,GRM3195C1H333JA01D,Kemet,C1206C333J5GACTU,Yageo,CC1206JKNPO9BN333
393,39nF,C1206NPOJ50V_39nF,NPO/COG,50V,5%,Murata,GRM3195C1H393JA01D,Kemet,C1206C393J5GACTU,Yageo,CC1206JKNPO9BN393
473,47nF,C1206NPOJ50V_47nF,NPO/COG,50V,5%,Murata,GRM3195C1H473JA01L,Kemet,C1206C473J5GACTU,Yageo,CC1206JKNPO9BN473
563,56nF,C1206NPOJ50V_56nF,NPO/COG,50V,5%,Murata,GRM3195C1H563JA01L,Kemet,C1206C563J5GACTU,Yageo,CC1206JKNPO9BN563
683,68nF,C1206NPOJ50V_68nF,NPO/COG,50V,5%,Murata,GRM3195C1H683JA01L,Kemet,C1206C683J5GACTU,Yageo,CC1206JKNPO9BN683
823,82nF,C1206NPOJ50V_82nF,NPO/COG,50V,5%,Murata,GRM3195C1H823JA01L,Kemet,C1206C823J5GACTU,Yageo,CC1206JKNPO9BN823
104,100nF,C1206NPOJ50V_100nF,NPO/COG,50V,5%,Murata,GRM3195C1H104JA01L,,,Yageo,CC1206JKNPO9BN104
104,100nF,C1206X7RK25V_100nF,X7R,25V,10%,,,Kemet,C1206C104K3RACTU,Yageo,CC1206KPX7R9BB104
124,120nF,C1206X7RK25V_120nF,X7R,25V,10%,,,Kemet,C1206C124K3RACTU,Yageo,CC1206KPX7R9BB124
154,150nF,C1206X7RK25V_150nF,X7R,25V,10%,,,Kemet,C1206C154K3RACTU,Yageo,CC1206KPX7R9BB154
184,180nF,C1206X7RK25V_180nF,X7R,25V,10%,,,Kemet,C1206C184K3RACTU,Yageo,CC1206KPX7R9BB184
224,220nF,C1206X7RK25V_220nF,X7R,25V,10%,Murata,GRM31MR71E224KA01L,Kemet,C1206C224K3RACTU,Yageo,CC1206KPX7R9BB224
274,270nF,C1206X7RK25V_270nF,X7R,25V,10%,Murata,GRM319R71E274KA01D,Kemet,C1206C274K3RACTU,Yageo,CC1206KPX7R9BB274
334,330nF,C1206X7RK25V_330nF,X7R,25V,10%,Murata,GRM319R71E334KA01D,Kemet,C1206C334K3RACTU,Yageo,CC1206KPX7R9BB334
394,390nF,C1206X7RK25V_390nF,X7R,25V,10%,,,Kemet,C1206C394K3RACTU,Yageo,CC1206KPX7R9BB394
474,470nF,C1206X7RK25V_470nF,X7R,25V,10%,Murata,GRM319R71E334KA01D,Kemet,C1206C474K3RACTU,Yageo,CC1206KPX7R9BB474
564,560nF,C1206X7RK25V_560nF,X7R,25V,10%,Murata,GRM319R71E564KA01D,Kemet,C1206C564K3RACTU,Yageo,CC1206KPX7R9BB564
684,680nF,C1206X7RK25V_680nF,X7R,25V,10%,Murata,GRM319R71E684KA01D,Kemet,C1206C684K3RACTU,Yageo,CC1206KPX7R9BB684
824,820nF,C1206X7RK25V_820nF,X7R,25V,10%,Murata,GRM31MR71E824KA01L,Kemet,C1206C824K3RACTU,Yageo,CC1206KPX7R9BB824
105,1uF,C1206X7RK25V_1uF,X7R,25V,10%,Murata,GRM31CR71E105KA01K,Kemet,C1206C105K3RACTU,Yageo,CC1206KPX7R9BB105
225,2.2uF,C1206X7RK25V_2.2uF,X7R,25V,10%,Murata,GRM31MR71E225KA93K,Kemet,C1206C225K3RACTU,Yageo,CC1206KPX7R9BB225
335,3.3uF,C1206X7RK25V_3.3uF,X7R,25V,10%,,,Kemet,C1206C335K3RACTU,Yageo,CC1206KPX7R9BB335
475,4.7uF,C1206X7RK25V_4.7uF,X7R,25V,10%,,,Kemet,C1206C475K3RACTU,Yageo,CC1206KPX7R9BB475
106,10uF,C1206X7RK25V_10uF,X7R,25V,10%,,,Kemet,C1206C106K3RACTU,Yageo,CC1206KPX7R9BB106
