1.00%,Tolerance,,,,,,
Value,Description,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
1R,"Res, 1R Ohm, 1%, 250mW, R1206",Yageo,RC1206FR-071RP,Panasonic,ERJ-8ENF1R00V,Koa-Speer,RK73H2BTTDD1R00F
1R02,"Res, 1R02 Ohm, 1R, 250mW, R1206",Yageo,RC1206FR-071R02P,Panasonic,ERJ-8ENF1R02V,Koa-Speer,RK73H2BTTDD1R02F
1R5,"Res, 1R5 Ohm, 1R02, 250mW, R1206",Yageo,RC1206FR-071R5P,Panasonic,ERJ-8ENF1R50V,Koa-Speer,RK73H2BTTDD1R50F
1R07,"Res, 1R07 Ohm, 1R5, 250mW, R1206",Yageo,RC1206FR-071R07P,Panasonic,ERJ-8ENF1R07V,Koa-Speer,RK73H2BTTDD1R07F
1R1,"Res, 1R1 Ohm, 1R07, 250mW, R1206",Yageo,RC1206FR-071R1P,Panasonic,ERJ-8ENF1R10V,Koa-Speer,RK73H2BTTDD1R10F
1R13,"Res, 1R13 Ohm, 1R1, 250mW, R1206",Yageo,RC1206FR-071R13P,Panasonic,ERJ-8ENF1R13V,Koa-Speer,RK73H2BTTDD1R13F
1R15,"Res, 1R15 Ohm, 1R13, 250mW, R1206",Yageo,RC1206FR-071R15P,Panasonic,ERJ-8ENF1R15V,Koa-Speer,RK73H2BTTDD1R15F
1R18,"Res, 1R18 Ohm, 1R15, 250mW, R1206",Yageo,RC1206FR-071R18P,Panasonic,ERJ-8ENF1R18V,Koa-Speer,RK73H2BTTDD1R18F
1R21,"Res, 1R21 Ohm, 1R18, 250mW, R1206",Yageo,RC1206FR-071R21P,Panasonic,ERJ-8ENF1R21V,Koa-Speer,RK73H2BTTDD1R21F
1R24,"Res, 1R24 Ohm, 1R21, 250mW, R1206",Yageo,RC1206FR-071R24P,Panasonic,ERJ-8ENF1R24V,Koa-Speer,RK73H2BTTDD1R24F
1R27,"Res, 1R27 Ohm, 1R24, 250mW, R1206",Yageo,RC1206FR-071R27P,Panasonic,ERJ-8ENF1R27V,Koa-Speer,RK73H2BTTDD1R27F
1R3,"Res, 1R3 Ohm, 1R27, 250mW, R1206",Yageo,RC1206FR-071R3P,Panasonic,ERJ-8ENF1R30V,Koa-Speer,RK73H2BTTDD1R30F
1R33,"Res, 1R33 Ohm, 1R3, 250mW, R1206",Yageo,RC1206FR-071R33P,Panasonic,ERJ-8ENF1R33V,Koa-Speer,RK73H2BTTDD1R33F
1R37,"Res, 1R37 Ohm, 1R33, 250mW, R1206",Yageo,RC1206FR-071R37P,Panasonic,ERJ-8ENF1R37V,Koa-Speer,RK73H2BTTDD1R37F
1R4,"Res, 1R4 Ohm, 1R37, 250mW, R1206",Yageo,RC1206FR-071R4P,Panasonic,ERJ-8ENF1R40V,Koa-Speer,RK73H2BTTDD1R40F
1R43,"Res, 1R43 Ohm, 1R4, 250mW, R1206",Yageo,RC1206FR-071R43P,Panasonic,ERJ-8ENF1R43V,Koa-Speer,RK73H2BTTDD1R43F
1R47,"Res, 1R47 Ohm, 1R43, 250mW, R1206",Yageo,RC1206FR-071R47P,Panasonic,ERJ-8ENF1R47V,Koa-Speer,RK73H2BTTDD1R47F
1R5,"Res, 1R5 Ohm, 1R47, 250mW, R1206",Yageo,RC1206FR-071R5P,Panasonic,ERJ-8ENF1R50V,Koa-Speer,RK73H2BTTDD1R50F
1R54,"Res, 1R54 Ohm, 1R5, 250mW, R1206",Yageo,RC1206FR-071R54P,Panasonic,ERJ-8ENF1R54V,Koa-Speer,RK73H2BTTDD1R54F
1R58,"Res, 1R58 Ohm, 1R54, 250mW, R1206",Yageo,RC1206FR-071R58P,Panasonic,ERJ-8ENF1R58V,Koa-Speer,RK73H2BTTDD1R58F
